"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Sun May 05 08:26:14 UTC 2024","Sun May 05 08:26:14 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"failed","Sun May 05 06:30:08 UTC 2024","Sun May 05 06:30:27 UTC 2024","18822","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Sun May 05 06:08:15 UTC 2024","Sun May 05 06:08:17 UTC 2024","1419","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Sun May 05 06:07:54 UTC 2024","Sun May 05 06:08:09 UTC 2024","14975","","12. Client Portal - Forms","","","","1. Direct user to “Forms” page",""
"passed","Sun May 05 06:05:32 UTC 2024","Sun May 05 06:05:48 UTC 2024","16737","","11. Client Portal - Administration","","","","1. Direct user to “Administration” page",""
"passed","Sun May 05 06:43:48 UTC 2024","Sun May 05 06:43:50 UTC 2024","2310","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Sun May 05 06:08:11 UTC 2024","Sun May 05 06:08:15 UTC 2024","4886","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"skipped","Sun May 05 06:03:25 UTC 2024","Sun May 05 06:03:25 UTC 2024","1","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"skipped","Sun May 05 08:26:14 UTC 2024","Sun May 05 08:26:14 UTC 2024","0","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"skipped","Sun May 05 06:26:22 UTC 2024","Sun May 05 06:26:22 UTC 2024","0","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Sun May 05 06:05:48 UTC 2024","Sun May 05 06:06:05 UTC 2024","17074","","11. Client Portal - Administration","","","","2. Check Administration Page",""
"passed","Sun May 05 06:43:32 UTC 2024","Sun May 05 06:43:43 UTC 2024","10351","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"broken","Sun May 05 08:26:14 UTC 2024","Sun May 05 08:26:14 UTC 2024","2","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Sun May 05 06:44:05 UTC 2024","Sun May 05 06:44:07 UTC 2024","1496","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"skipped","Sun May 05 06:26:22 UTC 2024","Sun May 05 06:26:22 UTC 2024","1","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"skipped","Sun May 05 08:26:14 UTC 2024","Sun May 05 08:26:14 UTC 2024","1","","23. Change Portfolio for Interactive Brokers","","","","5. Complete Build Your Portfolio",""
"passed","Sun May 05 06:44:07 UTC 2024","Sun May 05 06:44:19 UTC 2024","11727","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Sun May 05 05:44:23 UTC 2024","Sun May 05 05:45:28 UTC 2024","64394","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Sun May 05 06:43:43 UTC 2024","Sun May 05 06:43:45 UTC 2024","2423","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
